City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
375,Dasoguz,TM,57.31,overcast clouds,41.8363,59.9666,Ташауз Отел
378,Byron Bay,AU,74.88,broken clouds,-28.65,153.6167,Backpackers Inn
379,Camana,PE,68.97,overcast clouds,-16.6228,-72.7111,Hostal Morales
380,Porbandar,IN,69.67,broken clouds,21.6422,69.6093,Lords Inn Porbandar
381,Naze,JP,57.13,overcast clouds,28.3667,129.4833,Shishime Hotel
383,Bengkulu,ID,73.85,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
386,Soe,ID,68.79,overcast clouds,-9.8607,124.284,Dena Hotel
389,Ahipara,NZ,71.4,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
390,Rolla,US,66.34,clear sky,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
391,Chicama,PE,64.94,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
394,Mayo,US,55.56,clear sky,38.8876,-76.5119,Resorts Resource Group International
395,Agadez,NE,67.35,scattered clouds,19.75,10.25,
397,Virginia Beach,US,57.42,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
398,Nishihara,JP,63.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
402,Sombrerete,MX,66.4,overcast clouds,23.6333,-103.65,Hotel Conde del Jaral
407,Jinka,ET,65.95,broken clouds,5.65,36.65,
408,Minbu,MM,66.09,scattered clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
409,Majalgaon,IN,68.67,light rain,19.15,76.2333,Yash Shri
414,Puerto Penasco,MX,71.91,broken clouds,31.3167,-113.5333,Playa Bonita Resort
421,Xiamen,CN,58.24,clear sky,24.4798,118.0819,Xiamen Dongchen Hotel
423,Villa Rica,US,67.69,overcast clouds,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
427,Carauari,BR,73.99,heavy intensity rain,-4.8828,-66.8958,Hotel Fellip
428,Hambantota,LK,73.74,clear sky,6.1241,81.1185,Bungalow 63
429,Kinango,KE,71.8,light rain,-4.1372,39.3153,Legacy Hotel
432,Cortez,US,66.42,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
433,Itoman,JP,64.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
435,Los Llanos De Aridane,ES,62.35,scattered clouds,28.6585,-17.9182,Valle Aridane
438,Kisangani,CD,71.08,light rain,0.5167,25.2,Grand Ramela Hotel
443,Asyut,EG,59.18,broken clouds,27.181,31.1837,Florence Hotel Assiut
446,Hualmay,PE,69.21,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
452,Kisanga,TZ,74.46,clear sky,-7.4362,37.7034,
453,Grand-Santi,GF,74.21,moderate rain,4.25,-54.3833,Hotel La Villa Couacou
454,Mecca,SA,73.35,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
459,Matay,EG,60.87,overcast clouds,28.419,30.7792,Nag Aespen
462,Coquimbo,CL,64.13,few clouds,-29.9533,-71.3436,Punto de encuentro
464,Sarankhola,BD,64.04,broken clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
467,Takaka,NZ,68.97,moderate rain,-40.85,172.8,Golden Bay Motels
468,Bulungu,CD,68.36,overcast clouds,-4.55,18.6,
470,Carmelo,UY,72.19,few clouds,-33.9892,-58.2856,Los Muelles Boutique Hotel
471,Namibe,AO,70.61,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
481,Guymon,US,72.48,clear sky,36.6828,-101.4816,Super 8 Guymon
483,Sabha,LY,57.38,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
489,Quang Ngai,VN,67.14,broken clouds,15.1167,108.8,Central Hotel
496,La Maddalena,IT,55.56,light rain,41.2142,9.4083,Hotel Il Gabbiano
502,Hirara,JP,64.67,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
504,Winnemucca,US,57.25,clear sky,40.973,-117.7357,Winners Inn Casino
506,Chimbote,PE,68.52,scattered clouds,-9.0853,-78.5783,Hotel Viera Chimbote
508,Russell,US,67.71,clear sky,32.3502,-85.1999,Macs
